"chr","phenotype","gene","SKAT","BT","SKAT.O","SKAT.d","BT.d"
16,"log_HDL","CETP",8.77047167546774e-05,0.000228277374965561,7.21603483182509e-05,4.07699323509947e-05,0.00187065450927639
11,"log_HDL","SAAL1",7.98919066852255e-05,0.00103763219681345,0.000115420900917096,4.30227683834813e-05,7.21878034793244e-05
21,"log_HDL","ITSN1",0.000117344684058995,0.173432002671998,0.000280433587781403,7.16599455918439e-05,0.0288238837055621
11,"log_HDL","ALG9",7.79203464943423e-05,0.069312473646357,0.000180158883426151,8.18602689988708e-05,0.997576881400818
6,"log_HDL","IL17F",0.000142289596989698,0.0510671440870709,0.000303199482778682,0.000120114245588501,0.0962306578398822
1,"log_HDL","MAEL",0.000225643008645582,0.429532073610091,0.000461547962106512,0.000132853770284733,0.0158448678900995
1,"log_HDL","LOR",0.000271689939391417,0.000118336380436899,0.000157379375813171,0.000243329004977014,0.06253879017636
6,"log_HDL","SCGN",0.000288087981312968,0.631633118245612,0.000606500230066143,0.000247708544791715,0.820363981502547
5,"log_HDL","FBN2",0.000374495675142694,0.45748008626082,0.000906792558107883,0.00035974936467142,0.911163202943517
2,"log_HDL","GPD2",0.000453338621430821,0.0899957382670965,0.000885921945981916,0.000388113589725075,2.04847479915189e-12
4,"log_HDL","LRBA",0.000691263878895843,0.000495348812303876,0.000428632144310104,0.000566137803539705,0.930091774762645
14,"log_HDL","ZFYVE26",0.000870352760783177,0.794672782721679,0.00203497972564126,0.000609679293734698,0.00475548058389256
2,"log_HDL","RFX8",0.000716549784325116,0.279298296820189,0.00149564960994963,0.000647211297295702,0.877144420276449
9,"log_HDL","BSPRY",0.000681989086401047,0.000782817060979198,0.000556553229679291,0.000789010941091335,0.998899903485567
17,"log_HDL","RCVRN",0.000694794468609761,3.49178510478656e-05,6.50729127578131e-05,0.000836946115936005,0.99511620938306
22,"log_HDL","CYTH4",0.000845440142084652,0.0683478499555464,0.00113201699770249,0.000861704374212024,0.996975526034756
7,"log_HDL","KIAA0895",0.00103545675020533,0.0195895711445287,0.00162564344519467,0.000996655718344009,0.961446563374376
1,"log_HDL","ATG4C",0.00119569245707518,0.0863900096232271,0.00230586992903314,0.00102292265102663,0.124444370372787
20,"log_HDL","EPPIN-WFDC6",0.00111449648896311,0.00569126737682372,0.00184858676928379,0.001070432723901,2.04847479915189e-12
20,"log_HDL","EPPIN",0.00110540169895357,0.0095679334322902,0.00194291877648267,0.00107682527844304,2.04847479915189e-12
4,"log_HDL","NOP14",0.00125551828171488,0.443264036381654,0.00262087343643291,0.00109176870850089,0.22876190375439
3,"log_HDL","IL17RC",0.00179351280539208,9.4794204258926e-05,0.000184617256660413,0.0014283342986518,0.00127932290611855
1,"log_HDL","NLRP3",0.00208275385909429,0.564387690645292,0.00438778233332948,0.00169902794603085,0.0504660981165868
14,"log_HDL","ELMSAN1",0.00172389120924143,0.178566080774902,0.00383743154560878,0.00174538777697865,0.687049872650763
19,"log_HDL","MEGF8",0.00158403490642756,0.00764114422277396,0.00248668347316983,0.00178810156756128,0.999483111189946
12,"log_HDL","ACACB",0.0022081999753798,0.203690266686154,0.00449819110254068,0.00196054519478555,0.218475306804579
4,"log_HDL","LNX1",0.00209374462782075,0.000420627155524844,0.000492357016159461,0.00201176584248064,2.04847479915189e-12
11,"log_HDL","MRPL23",0.00204762681519788,0.354414929223278,0.00315649045011812,0.00206343260192305,0.982332177154324
17,"log_HDL","ALOX12B",0.0022964662470486,0.0102388487532982,0.00310740698525991,0.00214999219333446,0.435772293755863
12,"log_HDL","NR4A1",0.00287062241150271,0.973751473986761,0.00537774642377664,0.00215198359379599,0.00163488156300198
14,"log_HDL","RPS6KA5",0.00236232798104563,0.337628386315127,0.00433765483010495,0.00219320535520507,0.611035286931881
2,"log_HDL","MROH2A",0.00239880082369026,0.0101419027233095,0.00295569348730451,0.0022197356979618,0.945667280285886
12,"log_HDL","USP30",0.00245236952465788,0.00610941973048367,0.00330063755856758,0.00227104517601625,0.172156540756548
8,"log_HDL","DOK2",0.00196510941297712,0.0275065200332838,0.00360574080300302,0.00231443041684189,0.981716905373876
6,"log_HDL","ZSCAN26",0.00275772349869907,0.0156045131853647,0.00469675916243495,0.00272072696031036,2.04847479915189e-12
11,"log_HDL","PHF21A",0.00243852197838201,0.0934715748925643,0.00299110210457665,0.00277390531380101,0.998412294781301
15,"log_HDL","ISG20",0.00342142312348837,0.00204709181922037,0.00240544986974067,0.00281741785012822,0.0048455432436083
2,"log_HDL","ADCY3",0.00263343303804753,0.00810472546246694,0.00342128646477535,0.00304324918261751,0.998443302525805
6,"log_HDL","DLL1",0.00340436541860334,0.0133201473762387,0.00443171460823144,0.00318105446927281,2.04847479915189e-12
11,"log_HDL","SLCO2B1",0.00424336876580123,0.0369004558887988,0.00766409823208847,0.00333090965094716,0.0173998964895517
1,"log_HDL","SUCO",0.00369027026354207,0.831163666818537,0.00713992246083495,0.00340031477726617,0.0719345392190125
16,"log_HDL","GTF3C1",0.0038779632518311,0.960871835062838,0.00763501565448232,0.0034618287878175,0.145590645528143
12,"log_HDL","PPM1H",0.00366208827771897,0.00940888760714651,0.00459052511981484,0.00354300206833345,2.04847479915189e-12
1,"log_HDL","ZNF281",0.00479418262921749,0.00244747085996308,0.00281615273365843,0.00362321078544776,0.000304759667673171
1,"log_HDL","MACF1",0.00401428462837683,0.00897623946463575,0.00466693233686033,0.0036675634958345,0.789050391525926
1,"log_HDL","TSACC",0.00370685942461813,0.0169415510219698,0.00594985991858943,0.00368699331248349,0.507008565747329
4,"log_HDL","RNF150",0.00284886960245689,0.0843823861223864,0.00563945771491259,0.00373901429777882,0.998947778995788
21,"log_HDL","IFNAR1",0.00374440841722312,0.00113755493875354,0.00134694838806837,0.00376900675179824,0.927899261096242
17,"log_HDL","SLC6A4",0.00421879429218963,0.265279957124393,0.0073733763563113,0.00378217432398652,0.146117918187583
1,"log_HDL","TNFRSF9",0.00342654352094063,0.00908419212755919,0.00486172123689854,0.00380259451091031,0.996220663200447
7,"log_HDL","AUTS2",0.00438304771763187,0.170771877143852,0.00899947634402809,0.00382127477650043,0.146162951310714
12,"log_HDL","NELL2",0.00413584336368567,0.270145813432179,0.00762661808526011,0.0039238566005338,0.212409679312862
11,"log_HDL","PTPMT1",0.00399454187073467,0.139146557004715,0.00699575230880922,0.00405868909461835,0.560421624861211
14,"log_HDL","EFCAB11",0.00409791720722819,0.0128398246706693,0.00623977954303656,0.00444933707722837,0.956201153985752
6,"log_HDL","LY86",0.00453870645912391,0.0286860499031091,0.00811696933983097,0.00448218565797489,2.04847479915189e-12
1,"log_HDL","THEM5",0.00468914152170608,0.914171569139549,0.00800950199686012,0.00463563716719443,2.04847479915189e-12
5,"log_HDL","TCF7",0.00359817904194959,0.0137080436477965,0.00517823539526385,0.00468811150260032,0.999870927549293
4,"log_HDL","GRXCR1",0.00418757791758217,0.94778371202402,0.00721715468693618,0.00483870023549532,0.997568077917944
17,"log_HDL","OMG",0.00535642993065721,0.000362378338485398,0.00062494100980115,0.00491558089922147,0.0127016914683353
3,"log_HDL","ITIH1",0.00518839474692534,0.236971650988445,0.00977075162420626,0.00496736297034865,0.421735902726449
19,"log_HDL","FCGBP",0.00599549260224985,0.0658670899053498,0.0109220287247332,0.00497432028615857,0.0025991316630536
11,"log_HDL","ARHGEF12",0.00478593929145088,0.559805542621729,0.00988687648852005,0.00509930276981169,0.731650179845011
1,"log_HDL","MRPL55",0.00568554258363885,0.00187614158924958,0.00221926519857618,0.00523800690340502,0.0032334601108703
