"chr","phenotype","gene","SKAT","BT","SKAT.O","SKAT.d","BT.d"
8,"log_HDL","LPL",4.37697144971445e-11,0.000176126962772652,2.76852096803282e-10,2.61586012588704e-11,2.2176868353867e-10
20,"log_HDL","HNF4A",2.20841114062509e-07,0.00649161878731151,6.72639501320127e-07,1.64193346110045e-07,2.97829354094776e-05
15,"log_HDL","LIPC",5.17383362486079e-07,0.000355577071002468,1.18064463749956e-06,2.98825929196701e-07,0.999999600910624
16,"log_HDL","CETP",1.21342710023287e-05,0.021959011626005,1.39639674043845e-05,7.03379131983234e-06,0.00229107813904332
19,"log_HDL","APOE",0.000112731316856518,0.0109142885302647,0.000146786435662905,8.56859298081296e-05,6.07910706432411e-05
12,"log_HDL","NR2C1",0.000125699632805398,0.00150868709065788,0.000142638753642066,9.0793549528891e-05,5.18412977984641e-05
21,"log_HDL","C2CD2",0.000192575487976687,0.00904258027525724,0.000255515820560381,9.25093719765457e-05,0.000383666668619203
13,"log_HDL","AMER2",0.000231476859328672,0.0836303254487105,0.000508924690079904,0.000207561942765295,0.964795020359947
16,"log_HDL","SLC12A3",0.000363537185695151,0.000964237667797904,0.000330207405958682,0.00023892890463953,0.00151820620557948
12,"log_HDL","CSRNP2",0.000271761553083172,0.636415786809984,0.000549458034134975,0.000266311196576035,0.990848453230659
12,"log_HDL","PRPF40B",0.000390488523567045,3.01059164376551e-05,5.16424474760191e-05,0.000358867062431947,0.999802263236568
19,"log_HDL","TOMM40",0.000406822813195151,0.00683535896716826,0.000771548464300165,0.000443379895640899,0.999970571251584
8,"log_HDL","SLC35G5",0.000462098986968695,0.827940402128722,0.000785535846494767,0.000455435610051734,0.999295641042466
4,"log_HDL","HERC3",0.000535506807694208,0.060381633601253,0.00069069110314024,0.000467997722131121,0.9401204957945
16,"log_HDL","DPEP3",0.000545002743839507,0.00745319985225956,0.000998476951198035,0.000489550181678623,0.4014278774056
13,"log_HDL","KL",0.000605109356666356,0.0238623375411549,0.00120451270049715,0.000526859269268935,0.492796567516555
11,"log_HDL","KBTBD4",0.000588511874528463,7.79760609234093e-05,0.000187995528125651,0.0005609225678327,0.000312571438484519
7,"log_HDL","SPDYE5",0.000586118449751427,0.857798982534283,0.00105606291185534,0.000583088916892499,0.999761199332561
2,"log_HDL","SPOPL",0.000752997678860612,0.0081011559149969,0.000952680037043963,0.000704848371310624,0.949978055671156
13,"log_HDL","BRCA2",0.00107785897570056,0.0789550886565129,0.00127549219210832,0.000839492535485425,0.995827067103443
14,"log_HDL","PAPOLA",0.00097092740151028,0.190344940222547,0.00127352480620613,0.000881306983810995,2.03795455132112e-176
5,"log_HDL","LOX",0.00108338928769303,0.00052869286908528,0.000767401398463541,0.000917719057375246,0.000490479230461305
5,"log_HDL","SRFBP1",0.00109569374241347,0.00625903925301707,0.00147197820053657,0.000932351546968038,0.0166116170842863
15,"log_HDL","PLCB2",0.00118095725037537,0.00700005104714941,0.00147230195615766,0.000990164330751231,0.00234726834107426
11,"log_HDL","NNMT",0.0012730931194066,0.00514237232957584,0.00134512613389937,0.00105695809073862,0.000646854876751607
1,"log_HDL","SDHB",0.00118454341494623,0.00832175066322814,0.00201086363049197,0.00117025709307212,0.411772900580782
10,"log_HDL","FBXO18",0.00140330477167661,0.000642118057263316,0.000735644750970099,0.00135267794345629,0.998094413998488
4,"log_HDL","INTU",0.00210617631679555,0.12558126260559,0.00428715948385816,0.00157585541863334,0.00118958873087775
12,"log_HDL","SFSWAP",0.0016848935236452,0.696244958177872,0.00372689319997455,0.00169612329577099,0.866878392249155
7,"log_HDL","BMPER",0.00193827646429579,0.119755122485939,0.00398488002278641,0.00177618931638381,0.00229560927268876
15,"log_HDL","ZWILCH",0.00188670467070584,0.000514184002243185,0.000536805427039821,0.00188508574301482,2.03795455132112e-176
11,"log_HDL","RSF1",0.0023390291855383,0.510739823978724,0.00466011427928237,0.00207601035211013,0.00639008555721646
11,"log_HDL","OR6T1",0.00215914382683735,0.00150045727995626,0.00160206082439451,0.00208021473182335,0.00284590189926611
14,"log_HDL","RIPK3",0.00233812154960278,0.0148903334126039,0.00305622045195542,0.00209916818693768,0.000901728859621104
2,"log_HDL","TEX261",0.00209814946050402,0.00516326107950474,0.00314525547238043,0.00213158531449972,0.71024976208015
17,"log_HDL","FMNL1",0.00217737957106068,0.000307127486594533,0.000337676456383162,0.00214254610846676,2.03795455132112e-176
16,"log_HDL","LCAT",0.00219266169674159,0.473218840876317,0.00427559078972473,0.00217727010313427,0.939113001796317
15,"log_HDL","RHCG",0.00242759718148922,0.448207044667068,0.00429962299320064,0.00218332003034866,0.00119226522670573
21,"log_HDL","SMIM11A",0.00231223020947291,0.00232580903379546,0.00234171293627383,0.00219024919149698,0.00216400214785923
21,"log_HDL","SMIM11B",0.00231223020947291,0.00232580903379546,0.00234171293627383,0.00219024919149698,0.00216400214785923
19,"log_HDL","PRKCG",0.00273021972112053,0.721037731864703,0.00511235392312337,0.00248974444107172,0.000303800817960813
11,"log_HDL","OR10G9",0.0027135815571051,0.00145520211294687,0.00162829213982973,0.00260432718378928,0.230965951128294
5,"log_HDL","AFAP1L1",0.0027691549659854,0.0069507428416265,0.0030291346187189,0.00265100613145312,0.00131560990487311
2,"log_HDL","SLC5A7",0.00279604964829239,0.071109070633955,0.00515829420521918,0.00268608250386555,0.490411575513585
