"chr","phenotype","gene","SKAT","BT","SKAT.O","SKAT.d","BT.d"
8,"log_TRIG","LPL",9.48533282494526e-08,1.38160903496886e-06,3.95583699130952e-08,6.64894056208229e-08,0.00206912842617166
6,"log_TRIG","HIST1H1A",1.02570539765034e-05,0.0219754073159784,2.29046692435952e-05,6.99249868174358e-06,0.965412388388331
12,"log_TRIG","KRT6B",0.000103118577684747,0.088203976523787,0.000204630197114364,8.94730148329838e-05,0.962115707941664
19,"log_TRIG","CAPN12",0.000186602192274066,0.00688930665584861,0.000277163307901396,0.000111429770807843,0.0242980634388289
4,"log_TRIG","SPOCK3",0.000177970538577488,0.00565045612112642,0.000338068378886502,0.000196706403633344,0.992587792365433
12,"log_TRIG","SLC2A13",0.000263876214881775,0.0113974478448148,0.000358560136093367,0.000199577588686083,1
15,"log_TRIG","LIPC",0.000341783967057196,0.000732567466960837,0.000398574318066003,0.000263630327421375,5.82679533293311e-05
19,"log_TRIG","TOMM40",0.000328403538298216,0.386175719986688,0.000668015877959283,0.000284760138913139,0.00461895371821435
1,"log_TRIG","EPRS",0.000453693457155624,0.00138897498088666,0.000738384781377777,0.000481268066768038,0.904379934044988
5,"log_TRIG","SKIV2L2",0.000633646484337613,0.0018197410002786,0.000741333770049257,0.000502618041360659,0.0102797068922794
22,"log_TRIG","TUBA8",0.000618721394674115,0.112258367752862,0.0012058001089621,0.000537614787884376,0.00903996163933604
15,"log_TRIG","RNF111",0.000621272038350051,0.0874870147022677,0.00122086398322163,0.000541329830914499,0.258359594715882
6,"log_TRIG","LRFN2",0.000632899358981365,0.00099270393448377,0.000622388504898486,0.000683412728134548,0.944152827039119
12,"log_TRIG","TIMELESS",0.000961518357551205,0.957429255456726,0.00184601288771369,0.000689582023455314,6.16300625568505e-05
11,"log_TRIG","RSF1",0.000834247322123449,0.00279984235751503,0.00102989554143307,0.000799336520767877,0.518049131555161
3,"log_TRIG","LRRFIP2",0.000824729888844855,0.00197855531849303,0.00119771754286691,0.000820320320706594,0.634860535059707
12,"log_TRIG","PUS7L",0.0010406477363134,0.128613225198758,0.00185641344361531,0.000865155788740976,0.568892240936438
12,"log_TRIG","ACSS3",0.00111017603334385,0.0504015238758876,0.0015642862134202,0.000884285451185021,0.0327656309139523
15,"log_TRIG","FAM81A",0.000790114760379934,0.0182287903795718,0.0013607929243562,0.00089946086116965,0.994903020490753
